id;nom_partenaire;email_partenaire;tel_partenaire;description
1;Pataca du end-to-end;Bourgogne c;yellow Salad Auto;Poitou-Charentes Laffitte
2;Shoes Superviseur Bourgogne;Libye;invoice THX application;multi-byte portals copy
3;bus Architecte Fish;maximize open-source scalable;a;Picardie
4;Rustic;software Computers;cultivate Industrial Phased;client-server
5;Dollar;revolutionary;c;a metrics Shoes
6;Checking SQL cross-platform;Fresh c;Provence-Alpes-Côte;Books Nord-Pas-de-Calais
7;metrics workforce uniform;Saint-Séverin a;Korean Open-source quantify;Berkshire ivory
8;24/7 markets Garden;sexy;Sports Plastic Bike;Gorgeous Solférino productivity
9;RSS Account;payment a;Soft Unbranded synthesize;stable optical
10;grow Dollar;b;a Bonaparte panel;turn-key b Automotive
