id;nom_evenement;libelle;action;decision;delai_instruction;delai_inscription;delai_validation
1;open-source;c;Haute-Normandie;Pierre capacitor;2022-06-26T23:03:12;2022-06-27T08:48:12;2022-06-27T10:30:52
2;driver distributed;overriding Mexique;Frozen;aggregate;2022-06-26T12:06:46;2022-06-26T15:04:00;2022-06-27T07:32:19
3;Barbade ADP envisioneer;exploit Technicien bricks-and-clicks;invoice;reintermediate e-tailers;2022-06-26T20:16:04;2022-06-26T14:52:27;2022-06-27T01:13:53
4;Rustic;open-source Administrateur;card Géorgie;superstructure Bedfordshire robust;2022-06-26T12:06:01;2022-06-26T12:23:13;2022-06-26T15:12:44
5;Beauty;la;human-resource mindshare Bedfordshire;Kip multi-byte;2022-06-27T11:27:16;2022-06-26T19:58:25;2022-06-27T04:19:11
6;invoice connecting optimal;Car next-generation;e-services Vatu;Soft bypassing;2022-06-27T09:35:32;2022-06-26T16:45:20;2022-06-27T06:55:06
7;Bike Corse;Wooden needs-based;Electronics;Reduced Bedfordshire;2022-06-27T02:29:51;2022-06-27T08:29:39;2022-06-26T13:51:25
8;Checking c sticky;multi-byte Antillian la;Automotive navigating;interface PNG c;2022-06-26T14:24:48;2022-06-26T22:50:17;2022-06-26T23:35:28
9;invoice;incubate encoding alarm;a;Open-architected;2022-06-26T22:10:43;2022-06-27T02:49:19;2022-06-27T03:01:19
10;JBOD;methodologies SCSI;Tala Distributed installation;functionalities cross-media;2022-06-26T17:55:53;2022-06-26T12:09:22;2022-06-26T14:25:13
